cohort,H,n_eligible,baseline_mw,endpoint_mw,delta_mw,delta_pct,cross_out_n,cross_in_n,cross_out_mw,cross_in_mw
primary_unique_entity_qid,2025,4338,547459.82,285408.12,-262051.69999999995,-47.86683705847125,1187,31,275009.7,12958.0
primary_unique_entity_qid,2026,4338,742369.32,462899.62,-279469.69999999995,-37.64564246809122,1173,19,286908.7,7439.0
primary_unique_entity_qid,2027,4338,852257.32,637868.32,-214389.0,-25.15543075652316,818,11,216663.0,2274.0
primary_unique_entity_qid,2028,4338,903310.32,773253.72,-130056.59999999998,-14.397776392059818,432,1,130319.6,263.0
primary_unique_entity_qid,2029,4338,926439.32,842061.72,-84377.59999999998,-9.107730876534902,256,2,84527.6,150.0
primary_unique_entity_qid,2030,4338,955647.32,900719.72,-54927.59999999998,-5.7476852443849245,150,0,54927.6,0
primary_unique_entity_qid,2031,4338,958967.32,925921.72,-33045.59999999998,-3.445956844493927,76,6,33630.6,585.0
primary_unique_entity_qid,2032,4338,960792.32,943574.72,-17217.599999999977,-1.7920209853467581,41,8,17952.6,735.0
strict_qdate_state,2025,3974,506506.92,249721.02,-256785.9,-50.69741199192303,1153,30,269505.9,12720.0
strict_qdate_state,2026,3974,690424.42,414796.72,-275627.70000000007,-39.921487713311194,1151,18,282828.7,7201.0
strict_qdate_state,2027,3974,796148.42,584215.42,-211933.0,-26.619785290787863,808,10,213969.0,2036.0
strict_qdate_state,2028,3974,844712.42,716220.82,-128491.6000000001,-15.211283385652136,428,1,128754.6,263.0
strict_qdate_state,2029,3974,867841.42,784983.82,-82857.6000000001,-9.547550749536716,253,2,83007.6,150.0
strict_qdate_state,2030,3974,896573.42,842622.82,-53950.60000000009,-6.017421306110111,148,0,53950.6,0
strict_qdate_state,2031,3974,899893.42,867674.82,-32218.600000000093,-3.5802684277878254,75,6,32803.6,585.0
strict_qdate_state,2032,3974,901718.42,884500.82,-17217.600000000093,-1.909420903257149,41,8,17952.6,735.0
